Report de 6 mois maximum, pour des raisons liées au bon fonctionnement du service, dans le mois qui suit la notification par écrit à l'employeur. Remarque: le congé parental prendra cours au plus tard 6 mois après le mois pendant lequel l'employeur a usé de son droit de report.	Uitstel van 7 dagen mogelijk omwille van functioneringsredenen, binnen 2 werkdagen na ontvangst van de schriftelijke kennisgeving (niet van toepassing voor gehospitaliseerd kind).	Uitstel van maximaal zes maanden om redenen die verband houden met de goede werking van de dienst binnen een maand na de schriftelijke kennisgeving aan de werkgever. Opmerking: het ouderschapsverlof wordt uiterlijk zes maanden na de maand waarin de werkgever gebruik heeft gemaakt van zijn uitstelrecht, toegekend.	Report de 7 jours possible pour des raisons de fonctionnement, dans les 2 jours ouvrables de la réception de la notification écrite (non applicable pour l'enfant hospitalisé).	Deferral of up to 6 months, for reasons related to the proper functioning of the service, within one month of notification in writing to the employer. Note: parental leave shall take place no later than 6 months after the month in which the employer has exercised its right to defer.	Postponement of 7 days for operational reasons, within 2 working days after receipt of the written notification (not applicable for a hospitalised child).	4.0    
I Indemnité en compensation du licenciement L’indemnité en compensation du licenciement est une indemnité que l’ONEM paie sous certaines conditions aux travailleurs qui ont un contrat de travail datant d’avant 2014, qui sont licenciés après 2013 et qui ont une ancienneté suffisamment longue auprès de l’employeur.	De partners van de RVA zijn de organisaties waarmee RVA samenwerkt of contacten heeft, zoals de gewestelijke diensten voor arbeidsbemiddeling (ADG, ACTIRIS, FOREM, VDAB), de uitbetalingsinstellingen (ABVV, ACLVB, ACV en HVW), de Belgische instellingen van sociale zekerheid voor werknemers (RSZ, RVP, …) en instellingen van andere landen of op internationaal niveau. Pseudobrugpensioen (ontslagen oudere werknemers)	I Vergoeding voor ontslag De ontslagvergoeding is een vergoeding die onder bepaalde voorwaarden door de ONEM wordt betaald aan werknemers met een arbeidsovereenkomst van vóór 2014, die na 2013 ontslagen worden en die bij de werkgever een voldoende lange anciënniteit hebben.	Les partenaires de l'ONEm sont les organisations avec lesquelles l'ONEm coopère ou a des contacts, telles que les offices régionaux de l'emploi (ADG, ACTIRIS, FOREM, VDAB), les organismes de paiement (ABVV, ACLVB, ACV et CAPAC), les institutions belges de sécurité sociale pour travailleurs salariés (ONSS, ONE,..) et les institutions d'autres pays ou au niveau international. Prépension de retraite (travailleurs âgés licenciés)	I Compensation for dismissal The compensation for dismissal is an indemnity which the EMO pays under certain conditions to workers who have a pre-2014 employment contract, who are dismissed after 2013 and who have sufficiently long seniority with the employer.	The ACFA partners are the organisations with which ACVA cooperates or has contacts, such as the regional employment services (ADG, ASSRIS, FOREM, VDAB), the payout institutions (ABVV, ACLVB, ACV and HVW), the Belgian social security institutions for employees (RSZ, RVP, etc.) and institutions of other countries or at international level. Pseudo-bridge pension (redundant older workers)	4.0    
Si vous désirez obtenir une réduction de prestations dans le régime fin de carrière entre 50 et 54 ans sur la base des conditions dérogatoires, vous ne pouvez pas introduire votre demande par Internet.	het invullen op het PDF-document dat door de toepassing wordt gecreëerd: daartoe moet u het afdrukken, invullen en via de post versturen naar het RVA-kantoor bevoegd voor uw woonplaats (of bij het RVA-kantoor waarvan uw werkgever afhangt, als u in het buitenland gedomicilieerd bent).	Als u op grond van de uitzonderingsbepalingen een korting wilt krijgen op de eindejaarsregeling tussen 50 en 54 jaar, kunt u uw aanvraag niet via internet indienen.	le remplissage du document PDF créé par l'application: à cet effet, vous devez imprimer, remplir et envoyer par la poste au bureau de l'ONEm compétent pour votre domicile (ou au bureau de l'ONEm dont dépend votre employeur, si vous êtes domicilié à l'étranger).	If you wish to obtain a reduction in benefits in the end-of-career plan between 50 and 54 years on the basis of the derogations, you cannot apply over the Internet.	filling in the PDF document created by the application: To do this, you must print, fill in and post to the RVA office competent for your home (or at the RVA office on which your employer depends, if you are domiciled abroad).	4.0    
Indemnité en compensation du licenciement L’indemnité en compensation du licenciement est une indemnité que l’ONEM paie sous certaines conditions aux travailleurs qui ont un contrat de travail datant d’avant 2014, qui sont licenciés après 2013 et qui ont une ancienneté suffisamment longue auprès de l’employeur. Cette indemnité compense la perte qu’ils ont subie étant donné que les nouvelles règles de préavis plus avantageuses ne s’appliquent pas encore totalement à eux à partir de 2014.	In de zin van een partner van de RVA: De partners van de RVA zijn de organisaties waarmee RVA samenwerkt of contacten heeft, zoals de gewestelijke diensten voor arbeidsbemiddeling (ADG, ACTIRIS, FOREM, VDAB), de uitbetalingsinstellingen (ABVV, ACLVB, ACV en HVW), de Belgische instellingen van sociale zekerheid voor werknemers (RSZ, RVP, …) en instellingen van andere landen of op internationaal niveau. Pseudobrugpensioen (ontslagen oudere werknemers)	Vergoeding voor ontslag De vergoeding voor ontslag is een vergoeding die onder bepaalde voorwaarden door de ONEM wordt betaald aan werknemers met een arbeidsovereenkomst van vóór 2014, die na 2013 worden ontslagen en die een voldoende lange anciënniteit bij de werkgever hebben. Deze vergoeding compenseert het verlies dat zij hebben geleden, aangezien de nieuwe, gunstiger opzeggingsregels nog niet volledig op hen van toepassing zijn vanaf 2014.	Au sens d'un partenaire de l'ONEm : Les partenaires de l'ONEm sont les organisations avec lesquelles l'ONEm coopère ou a des contacts, telles que les offices régionaux de l'emploi (ADG, ACTIRIS, FOREM, VDAB), les organismes de paiement (ABVV, ACLVB, ACV et CAPAC), les institutions belges de sécurité sociale pour travailleurs salariés (ONSS, ONE,..) et les institutions d'autres pays ou au niveau international. Prépension de retraite (travailleurs âgés licenciés)	Compensation for termination of employment The compensation for termination of employment is an indemnity paid by the EMO under certain conditions to workers who have a pre-2014 employment contract, who are dismissed after 2013 and who have sufficiently long service with the employer. This compensation compensates for the loss they suffered as the new, more advantageous notice rules do not yet fully apply to them from 2014.	In the sense of an ACFA partner: The ACFA partners are the organisations with which ACVA cooperates or has contacts, such as the regional employment services (ADG, ASSRIS, FOREM, VDAB), the payout institutions (ABVV, ACLVB, ACV and HVW), the Belgian social security institutions for employees (RSZ, RVP, etc.) and institutions of other countries or at international level. Pseudo-bridge pension (redundant older workers)	4.0    
C1B-Déclaration de revenus C1C-C1C-Déclaration d’une activité accessoire – Mesure « Tremplin-indépendants » C3.2-Employeur (remplacé par les e-DRS scénarios 2 et 5)-certificat de chômage temporaire	Bijlage Arbeidsovereenkomst SINE-Bijlage bij de arbeidsovereenkomst van de werknemer die in aanmerking komt voor de herinschakelingsuitkering in het kader van de sociale inschakelingseconomie (SINE) Bijlage C4-Arbeidsbewijs Bijlage C4-Generatiepact	C1B-Inkomstenverklaring C1C-C1C-Verklaring van een nevenactiviteit — maatregel "Tremplin-zelfstandigen" C3.2-Werkgever (vervangen door de e-DRS scenario 2 en 5)-tijdelijk werkloosheidscertificaat	Annexe Contrat de travail SINE-Annexe au contrat de travail du travailleur qui entre en ligne de compte pour l'allocation de réinsertion dans le cadre de l'économie sociale d'insertion (SINE) Annexe C4-Certificat de travail Annexe C4-Pacte de Génération	C1B-Income tax return C1C-C1C-Declaration of an ancillary activity - Self-employed springboard measure C3.2-Employer (replaced by e-DRS scenarios 2 and 5)-certificate of temporary unemployment	Annex Employment Agreement SINE-Annex to the employment contract of the worker eligible for the social-economy reclassification allowance (SINE) Annex C4 Labour permit Annex C4 Generation pact	4.0    
C230.1-Demande d'outplacement à charge de l'ONEM (destiné aux travailleurs licenciés à partir du 01.12.2007) C240.1-Demande de remboursement des frais de l'outplacement ALE 1A-Formulaire d'utilisateur pour personne privée	C131B (vervangen door de e-ASR scenario 6)-Maandelijkse aangifte van deeltijdse arbeid voor de berekening van de inkomensgarantie-uitkering	C230.1-Verzoek om uitzetting ten laste van de UNEM (bestemd voor werknemers die zijn ontslagen vanaf 01.12.2007) C240.1-Verzoek om vergoeding van de kosten van de vrijhandelsovereenkomst 1A-Gebruikersformulier voor particulieren	C131B (remplacé par le scénario e-ASR 6)-Déclaration mensuelle de travail à temps partiel pour le calcul de l'allocation de garantie de revenus	C230.1-Application for Subsidy from the EMO (for workers made redundant from 01.12.2007) C240.1-Application for reimbursement of costs of the LRA 1A-User Form for Private Persons	C131B (replaced by e-ASR scenario 6) — Monthly part-time declaration for the calculation of the income guarantee benefit	4.0    
L’outplacement est l’ensemble des services et conseils de guidance, individuels ou collectifs, fournis par un prestataire de services à un travailleur, pour le compte d’un employeur. L’objectif est de permettre au travailleur de trouver lui-même un emploi auprès d’un nouvel employeur dans les plus brefs délais ou de développer une activité professionnelle comme indépendant.	Werknemers van minstens 50 jaar die het werk hervatten als loontrekkende na een periode van volledige werkloosheid of invaliditeit in het vorige jaar, hebben geen recht op 4 weken betaalde vakantie en krijgen daarom voor de ontbrekende dagen een uitkering.	Werkgelegenheid is het geheel van individuele of collectieve begeleidingsdiensten en -adviezen die een dienstverlener voor rekening van een werkgever aan een werknemer verstrekt. Het doel is de werknemer in staat te stellen zelf zo snel mogelijk een baan bij een nieuwe werkgever te vinden of een beroepsactiviteit als zelfstandige te ontwikkelen.	Les travailleurs âgés d'au moins 50 ans qui reprennent le travail en tant que salarié après une période de chômage complet ou d'invalidité de l'année précédente n'ont pas droit à 4 semaines de vacances rémunérées et reçoivent dès lors une allocation pour les jours manquants.	Overplacement is the set of individual or collective guidance services and advice provided by a service provider to a worker on behalf of an employer. The aim is to enable the worker to find a job with a new employer as soon as possible or to develop a professional activity as a self-employed person.	Employees of at least 50 years of age who resume work as employed after a period of full unemployment or disability in the previous year are not entitled to four weeks' paid leave and are therefore entitled to a benefit for the missing days.	4.0    
(Directorate of Labour and Welfare)	Postbus 124 NL – 7550 AC Hengelo Opvragen en informatie:	(Directorate of Labour and Welfare)	Postbus 124 NL - 7550 AC Hengelo Demandes et informations :	(Directorate of Labour and Welfare)	PO Box 124 NL - 7550 AC Hengelo Request and information:	4.0    
Informations complémentaires? Si vous désirez plus d'informations sur le champ d'application et les bases légales du crédit-temps, vous pouvez consulter la feuille info T139.	de regels met betrekking tot de toekenning van de uitkeringen, vervat in het koninklijk besluit van 12.12.2001.	Aanvullende informatie? Als u meer informatie wilt over het toepassingsgebied en de rechtsgrondslagen van het tijdgebonden krediet, kunt u het informatieblad T139 raadplegen.	les règles relatives à l'octroi des allocations, contenues dans l'arrêté royal du 12.12.2001.	More information? If you would like more information on the scope and legal basis of the time credit, you can consult the T139 info sheet.	the rules governing the award of benefits contained in the Royal Decree of 12 December 2001.	4.0    
VDAB Keizerslaan 11 Tél:Servicelijn: 0800 30 700	Le FOREM - Service Dispenses	VDAB Keizerslaan 11 Tel:Servicelijn: 0800 30 700	Le FOREM - Service Dispenses	VDAB Keizerslaan 11 Tel:Servicelijn: 0800 30 700	Le FOREM - Service Dispenses	4.0    
